# Time-averaged data for fix boxVol
# TimeStep v_boxVol
12690 289909
12700 289913
12710 289895
12720 289726
12730 289632
12740 289504
12750 289383
12760 289307
12770 289269
12780 289316
12790 289404
12800 289510
12810 289453
12820 289377
12830 289364
12840 289382
12850 289359
12860 289387
12870 289360
12880 289353
12890 289481
12900 289508
12910 289515
12920 289439
12930 289284
12940 289190
12950 289193
12960 289245
12970 289303
12980 289310
12990 289383
13000 289361
13010 289330
13020 289260
13030 289225
13040 289192
13050 289156
13060 289234
13070 289313
13080 289364
13090 289288
13100 289151
13110 289153
13120 289244
13130 289174
13140 289189
13150 289323
13160 289261
13170 289127
13180 289176
13190 289288
13200 289253
13210 289162
13220 289248
13230 289405
13240 289456
13250 289383
13260 289410
13270 289426
13280 289419
13290 289416
13300 289469
13310 289483
13320 289509
13330 289443
13340 289448
13350 289489
13360 289573
13370 289524
13380 289409
13390 289372
13400 289364
13410 289336
13420 289307
13430 289334
13440 289301
13450 289275
13460 289283
13470 289265
13480 289293
13490 289446
13500 289515
13510 289558
13520 289509
13530 289430
13540 289392
13550 289404
13560 289436
13570 289487
13580 289288
13590 289217
13600 289280
13610 289384
13620 289374
13630 289318
13640 289301
13650 289270
13660 289215
13670 289210
13680 289102
13690 289015
13700 288975
13710 289066
13720 289042
13730 289102
13740 289180
13750 289135
13760 289064
13770 289006
13780 288902
13790 288809
13800 288739
13810 288727
13820 288741
13830 288807
13840 288741
13850 288714
13860 288729
13870 288770
13880 288664
13890 288615
13900 288610
13910 288629
13920 288614
13930 288516
13940 288530
13950 288413
13960 288392
13970 288439
13980 288576
13990 288660
14000 288573
14010 288612
14020 288764
14030 288681
14040 288582
14050 288683
14060 288819
14070 288787
14080 288792
14090 288870
14100 288886
14110 288779
14120 288757
14130 288681
14140 288715
14150 288756
14160 288792
14170 288797
14180 288906
14190 289073
14200 289022
14210 289009
14220 289001
14230 288994
14240 288955
14250 288905
14260 288927
14270 288936
14280 288881
14290 288852
14300 288902
14310 288747
14320 288713
14330 288772
14340 288851
14350 288897
14360 288862
