# Time-averaged data for fix xyArea
# TimeStep v_xyArea
20540 4484.72
20550 4485.1
20560 4484.1
20570 4485.31
20580 4486.63
20590 4487.06
20600 4487.51
20610 4487.3
20620 4487.86
20630 4487.97
20640 4489.25
20650 4488.96
20660 4487.87
20670 4487.14
20680 4487.14
20690 4485.45
20700 4485.46
20710 4486.64
20720 4487.59
20730 4488.59
20740 4488.53
20750 4488.78
20760 4489.04
20770 4488.1
20780 4488.26
20790 4487.89
20800 4488.54
20810 4490.21
20820 4491.09
20830 4490.26
20840 4491.12
20850 4490.66
20860 4491.17
20870 4492.49
20880 4493.52
20890 4493.15
20900 4492.2
20910 4491.65
20920 4490.98
20930 4491.01
20940 4492.28
20950 4490.71
20960 4489.37
20970 4487.74
20980 4486.05
20990 4486.02
21000 4484.4
21010 4483.66
21020 4483.17
21030 4483.93
21040 4485.05
21050 4483.67
21060 4481.62
21070 4480.32
21080 4480.44
21090 4479.93
21100 4478.81
21110 4478
21120 4478.11
21130 4477.15
21140 4475.87
21150 4475.69
21160 4474.92
21170 4472.77
21180 4470.56
21190 4469.36
21200 4469.69
21210 4469.24
21220 4468.11
21230 4468.18
21240 4468.6
21250 4469.72
21260 4471.32
21270 4471.56
21280 4473.1
21290 4474.1
21300 4474.44
21310 4476.02
21320 4477.2
21330 4476.69
21340 4476.66
21350 4476.65
21360 4476.86
21370 4478.11
21380 4479.41
21390 4479.56
21400 4480.72
21410 4482.17
21420 4482.76
21430 4481.89
21440 4479.89
21450 4477.98
21460 4476.5
21470 4473.37
21480 4470.75
21490 4469.37
21500 4470.38
21510 4469.63
21520 4469.2
21530 4470.29
21540 4470.46
21550 4470.44
21560 4469.75
21570 4469.38
21580 4470.98
21590 4470.76
21600 4470.08
21610 4470.97
21620 4470.79
21630 4470.23
21640 4470.83
21650 4470.62
21660 4470.37
21670 4471.56
21680 4472.61
21690 4473.99
21700 4476.7
21710 4478.7
21720 4479.57
21730 4479.07
21740 4480.94
21750 4481.6
21760 4481.78
21770 4482.69
21780 4483.53
21790 4483.31
21800 4482.22
21810 4483.35
21820 4484.68
21830 4484.24
21840 4483.75
21850 4483.53
21860 4482.47
21870 4482.15
21880 4483.01
21890 4483.46
21900 4482.85
21910 4481.01
21920 4479.31
21930 4478.8
21940 4478.38
21950 4478.23
21960 4478.97
21970 4480.09
21980 4480.23
21990 4480.68
22000 4480.01
22010 4481.42
22020 4481.21
22030 4480.24
22040 4480.39
22050 4479.68
22060 4479.52
22070 4478.05
22080 4477.04
22090 4477.12
22100 4476.86
22110 4474.44
22120 4473.51
22130 4474.45
22140 4475.12
22150 4475.54
22160 4475.21
22170 4474.33
22180 4472.84
22190 4471
22200 4470.41
22210 4469.97
22220 4469.15
22230 4468.09
22240 4466.96
22250 4466.96
22260 4466.34
22270 4465.89
22280 4466.39
22290 4466.26
22300 4465.74
22310 4465.92
22320 4464.8
22330 4463.77
22340 4463.77
22350 4464.06
22360 4463.96
22370 4461.08
22380 4459.93
22390 4458.58
22400 4457.1
22410 4456.89
22420 4456.27
22430 4457.38
22440 4458.42
22450 4457.7
22460 4458.4
22470 4458.9
22480 4458.42
22490 4458.85
22500 4459.28
22510 4458.94
22520 4457.66
22530 4457.82
22540 4459.04
22550 4459.68
22560 4459
